Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR5712495_clean_1	SRR5712495_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	22668663.0	0.0	36-150	50.0	22.410104516012293	145.30030443348159	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR5712495_clean_2	SRR5712495_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	22668663.0	0.0	36-150	48.0	12.396100317686805	146.8329403458863	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712496_clean_1	SRR5712496_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13912773.0	0.0	37-150	51.0	20.39427646268458	144.92116445801278	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR5712496_clean_2	SRR5712496_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13912773.0	0.0	37-150	49.0	13.326920377233881	146.27104438489724	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712497_clean_1	SRR5712497_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	22334561.0	0.0	37-150	49.0	21.840341871688516	144.79451859385102	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR5712497_clean_2	SRR5712497_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	22334561.0	0.0	37-150	47.0	12.336272315924937	146.19302232983222	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712498_clean_1	SRR5712498_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	20694578.0	0.0	37-150	50.0	20.088514697906973	145.24387503818633	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR5712498_clean_2	SRR5712498_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	20694578.0	0.0	37-150	48.0	10.69370928622804	146.656847798491	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712499_clean_1	SRR5712499_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	20933083.0	0.0	37-150	49.0	28.09667568889436	143.6969115824936	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712499_clean_2	SRR5712499_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	20933083.0	0.0	37-150	47.0	23.523082267202355	143.04417614930395	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712500_clean_1	SRR5712500_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	20026759.0	0.0	34-150	52.0	16.962037475295624	145.36353525800155	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712500_clean_2	SRR5712500_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	20026759.0	0.0	34-150	50.0	12.378374347866847	145.42865652899704	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712501_clean_1	SRR5712501_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	18681760.0	0.0	36-150	51.0	16.697147134135793	145.43785869211467	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR5712501_clean_2	SRR5712501_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	18681760.0	0.0	36-150	49.0	11.94986647196172	145.3647543914492	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712502_clean_1	SRR5712502_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	22768762.0	0.0	36-150	52.0	15.811742532758904	144.23008642279277	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712502_clean_2	SRR5712502_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	22768762.0	0.0	36-150	50.0	11.921335958417059	144.1229325951055	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712503_clean_1	SRR5712503_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	24072231.0	0.0	37-150	50.0	24.79958348051092	145.64116774220054	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712503_clean_2	SRR5712503_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	24072231.0	0.0	37-150	48.0	17.85226505989723	145.62341965728064	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712504_clean_1	SRR5712504_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	27303373.0	0.0	37-150	51.0	16.321512612913384	144.50172625191766	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
SRR5712504_clean_2	SRR5712504_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	27303373.0	0.0	37-150	49.0	9.476449762270141	145.73432154334924	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712505_clean_1	SRR5712505_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	27804151.0	0.0	32-150	49.0	24.638852052314476	145.5399579364966	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712505_clean_2	SRR5712505_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	27804151.0	0.0	32-150	48.0	20.009397934984698	145.48181503546	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712506_clean_1	SRR5712506_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31764051.0	0.0	37-150	52.0	11.211817104072248	144.9736559420585	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712506_clean_2	SRR5712506_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31764051.0	0.0	37-150	50.0	6.963421598350017	146.56670573913888	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712507_clean_1	SRR5712507_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29328934.0	0.0	37-150	52.0	12.228218156618016	146.1145775022031	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712507_clean_2	SRR5712507_clean_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29328934.0	0.0	37-150	49.0	8.942925444709498	146.1601186050608	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712508_clean_1	SRR5712508_clean_1.fastq	Conventional base calls	Sanger / Illumina 1.9	30818070.0	0.0	37-150	49.0	20.195144041349316	146.15780829234276	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
